,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
1022,EYGBS,3.9,(478 Reviews),"Bangalore/Bengaluru,Karnataka + 19 more",4 years old,51-200 Employees (India),
1023,JTEKT,4.1,(986 Reviews),Public,Osaka + 17 more,16 years old,501-1k Employees (India)
1024,Quatrro,3.5,(477 Reviews),Private,Gurgaon + 4 more,17 years old,1k-5k Employees (India)
1025,TEKsystems,3.8,(477 Reviews),Private,"Hanover,Maryland + 8 more",39 years old,1k-5k Employees (India)
1026,Country Holidays...,4.5,(476 Reviews),Private,"Noida,Uttar Pradesh + 17 more",6 years old,501-1k Employees (India)
1027,Samsung Electron...,4.2,(476 Reviews),Noida + 76 more,1 Lakh+ Employees (Global),,
1028,Allscripts,4.3,(477 Reviews),Private,"Chicago,Illinois + 4 more",40 years old,1k-5k Employees (India)
1029,Reliance Power,4.2,(475 Reviews),Public,"Navi Mumbai,Maharashtra + 28 more",27 years old,1k-5k Employees (India)
1030,Knorr-Bremse,4.1,(475 Reviews),Private,Munich + 15 more,9 years old,201-500 Employees (India)
1031,AVEVA,4.3,(474 Reviews),Private,"Cambridge,Cambridgeshire + 8 more",55 years old,1k-5k Employees (India)
1032,DLF,4.1,(474 Reviews),Public,"Gurgaon/Gurugram,Haryana + 22 more",76 years old,1k-5k Employees (India)
1033,Athena BPO,3.2,(473 Reviews),Private,"Mumbai,Maharashtra + 20 more",3 years old,201-500 Employees (India)
1034,Fusion Microfina...,4.2,(473 Reviews),Private,"Delhi,NCT + 133 more",12 years old,5k-10k Employees (India)
1035,Sundaram Clayto...,4.1,(473 Reviews),Public,"Chennai,Tamil Nadu + 17 more",60 years old,1k-5k Employees (India)
1036,Matrimony.com,3.6,(473 Reviews),Public,"Chennai,Tamil Nadu + 32 more",25 years old,1k-5k Employees (India)
1037,Schlumberger,4.2,(579 Reviews),Private,"Houston,Texas + 30 more",96 years old,5k-10k Employees (India)
1038,Wheels,4.1,(472 Reviews),Public,"Chennai,Tamil Nadu + 21 more",60 years old,1k-5k Employees (India)
1039,Ingram Micro,3.9,(519 Reviews),Private,"Irvine,California + 38 more",43 years old,1k-5k Employees (India)
1040,GEP Worldwide,3.9,(471 Reviews),Private,"Clark,New Jersey + 4 more",23 years old,1k-5k Employees (India)
1041,Redington,4.2,(470 Reviews),Public,"Dubai,Dubai + 44 more",23 years old,1k-5k Employees (India)
1042,VeeTechnologies,3.8,(470 Reviews),Private,New York + 14 more,22 years old,1k-5k Employees (India)
1043,Airtel Payments ...,4.2,(469 Reviews),Public,"Delhi/NCR,New Delhi + 128 more",6 years old,1k-5k Employees (India)
1044,Medplus(optival ...,3.6,(468 Reviews),Private,Hyderabad + 43 more,16 years old,501-1k Employees (India)
1045,Xebia,4.4,(468 Reviews),Private,"Hilversum,Hilversum + 8 more",21 years old,1k-5k Employees (India)
1046,Gharda Chemicals,4.2,(467 Reviews),Private,"Mumbai,Maharashtra + 35 more",55 years old,1k-5k Employees (India)
1047,Aparna Construct...,4.1,(467 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 22 more",26 years old,1k-5k Employees (India)
1048,Willis Towers Wa...,4.1,(660 Reviews),Private,London + 13 more,6 years old,1k-5k Employees (India)
1049,Aparna Construct...,4.1,(466 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 22 more",26 years old,1k-5k Employees (India)
1050,Defence Research...,4.4,(526 Reviews),Private,"Delhi/NCR,New Delhi + 32 more",64 years old,10k-50k Employees (India)
1051,Velocis Systems,4.1,(465 Reviews),Private,"Noida,Uttar Pradesh + 38 more",27 years old,1k-5k Employees (India)
1052,Denave,4.0,(465 Reviews),Private,"Noida,Uttar Pradesh + 49 more",23 years old,501-1k Employees (India)
1053,OMICS Internatio...,2.8,(478 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",15 years old,51-200 Employees (India)
1054,Aditya Birla Hea...,4.0,(464 Reviews),Private,Mumbai + 99 more,7 years old,1k-5k Employees (India)
1055,Tanishq,4.2,(464 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 115 more",28 years old,1 Lakh+ Employees (India)
1056,Uttam Galva Stee...,3.9,(464 Reviews),Public,"Mumbai,Maharashtra + 17 more",37 years old,1k-5k Employees (India)
1057,T.v. Sundram Iye...,4.1,(12.7k Reviews),"Chennai,Tamil Nadu + 72 more",111 years old,1k-5k Employees (India),
1058,Samasta Microfin...,4.1,(462 Reviews),Public,"Bangalore,Karnataka + 149 more",14 years old,1k-5k Employees (India)
1059,Royal Sundaram G...,4.0,(462 Reviews),JV,"Chennai,Tamil Nadu + 77 more",21 years old,1k-5k Employees (India)
1060,Amara Raja Group,4.2,(1.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 60 more",37 years old,10k-50k Employees (India)
1061,ICA Edu Skills,3.8,(461 Reviews),Private,"Kolkata,West Bengal + 89 more",23 years old,1k-5k Employees (India)
1062,Accel Frontline,3.7,(461 Reviews),Private,"Chennai,Tamil Nadu + 59 more",31 years old,51-200 Employees (India)
1063,Orient Craft,4.1,(461 Reviews),Private,"Gurgaon/Gurugram,Haryana + 12 more",46 years old,10k-50k Employees (India)
1064,Ugam Solution,3.7,(461 Reviews),Private,"Mumbai,Maharashtra + 9 more",22 years old,1k-5k Employees (India)
1065,Bluestream Softw...,4.6,(461 Reviews),Private,"New Delhi,Delhi + 7 more",1k-5k Employees (India),
1066,IMPACT Infotech,3.8,(459 Reviews),Private,"Pune,Maharashtra + 47 more",28 years old,501-1k Employees (India)
1067,LivSpace,3.7,(459 Reviews),Private,"Bangalore,Karnataka + 17 more",7 years old,1k-5k Employees (India)
1068,Happiest Minds T...,4.1,(459 Reviews),Public,"Bangalore,Karnataka + 11 more",11 years old,1k-5k Employees (India)
1069,Michelin,4.0,(458 Reviews),Private,Clermont-Ferrand + 35 more,13 years old,1k-5k Employees (India)
1070,General Mills,4.4,(469 Reviews),Private,"Minneapolis,Minnesota + 33 more",26 years old,1k-5k Employees (India)
1071,Rodic Consultant...,4.3,(457 Reviews),Private,"Delhi/NCR,Delhi + 75 more",22 years old,501-1k Employees (India)
1072,L&T Power,3.9,(457 Reviews),Public,"Mumbai,Maharashtra + 74 more",16 years old,1k-5k Employees (India)
1073,Ihg Group,4.2,(907 Reviews),Private,"Gurgaon/Gurugram,Haryana + 32 more",19 years old,1k-5k Employees (India)
