,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
8919,SRS Group,4.3,(58 Reviews),Faridabad + 14 more,22 years old,501-1k Employees (India),
8920,Pyramid E Servic...,3.0,(58 Reviews),Private,"New Delhi,Delhi + 10 more",17 years old,11-50 Employees (India)
8921,XL India Busines...,3.8,(58 Reviews),Private,"Hamilton,Hamilton + 2 more",19 years old,1k-5k Employees (India)
8922,BAN LABS,3.9,(58 Reviews),Private,"Rajkot,Gujrat + 16 more",56 years old,1k-5k Employees (India)
8923,Cades Studec Tec...,3.9,(58 Reviews),Private,Bengaluru,16 years old,51-200 Employees (India)
8924,Yuva Parivartan,3.6,(58 Reviews),NGO/NPO,"Mumbai,Maharashtra + 17 more",24 years old,51-200 Employees (India)
8925,Hindusthan Engi...,3.2,(58 Reviews),Kolkata + 8 more,82 years old,1k-5k Employees (India),
8926,Sun Mobility,4.0,(58 Reviews),JV,"Bangalore,Karnataka + 2 more",5 years old,11-50 Employees (India)
8927,Teemage Precast ...,4.1,(58 Reviews),Tirupur + 5 more,11 years old,201-500 Employees (India),
8928,Premium Chick Fe...,4.1,(58 Reviews),Pune + 25 more,31 years old,501-1k Employees (India),
8929,Ikon Retail,3.7,(58 Reviews),Private,New Delhi + 7 more,16 years old,11-50 Employees (India)
8930,Advocate,4.3,(58 Reviews),Private,Atlanta + 25 more,21 years old,1 Lakh+ Employees (India)
8931,Dedicated Freigh...,3.9,(58 Reviews),Public,New Delhi + 18 more,16 years old,501-1k Employees (India)
8932,Automag India Pv...,4.0,(58 Reviews),Private,Pune + 4 more,37 years old,201-500 Employees (India)
8933,JRG Automotive i...,3.0,(58 Reviews),Private,Gurgaon + 3 more,15 years old,11-50 Employees (India)
8934,Txd (india) Tech...,4.1,(58 Reviews),Bawal + 3 more,51-200 Employees (India),,
8935,Threpsi Solution...,4.1,(58 Reviews),Mumbai + 13 more,1k-5k Employees (India),,
8936,Stellantis,3.4,(58 Reviews),Chennai + 4 more,1k-5k Employees (India),,
8937,Mahindra Teqo,4.2,(58 Reviews),Mumbai + 17 more,501-1k Employees (India),,
8938,Bajaj Electronic...,4.4,(58 Reviews),Hyderabad/Secunderabad + 9 more,11-50 Employees (India),,
8939,Drip Capital,4.7,(58 Reviews),Private,"Palo Alto,California + 2 more",8 years old,201-500 Employees (India)
8940,Tata Docomo,3.8,(58 Reviews),Mumbai + 23 more,26 years old,1k-5k Employees (India),
8941,Sourcedesk Globa...,4.5,(58 Reviews),Private,"Toronto,Ontario",12 years old,51-200 Employees (India)
8942,Annova Solutions,4.1,(58 Reviews),10k-50k Employees (India),,,
8943,Club Oxygen,4.4,(58 Reviews),Public,"Mumbai,Maharashtra + 14 more",4 years old,1-10 Employees (India)
8944,Topsel Toyota,4.6,(58 Reviews),Private,Kolkata + 2 more,41 years old,201-500 Employees (India)
8945,Shri Ram Murti S...,4.0,(58 Reviews),Private,Bareilly + 2 more,32 years old,501-1k Employees (Global)
8946,Tarento Technolo...,4.3,(58 Reviews),Private,Stockholm + 1 more,13 years old,201-500 Employees (India)
8947,Apeejay Surrendr...,4.1,(507 Reviews),Private,Kolkata + 10 more,112 years old,10k-50k Employees (India)
8948,eBay,4.2,(59 Reviews),Private,"San Jose,California + 11 more",27 years old,1k-5k Employees (India)
8949,Kabra Extrusion ...,3.9,(57 Reviews),Public,"Mumbai,Maharashtra + 5 more",60 years old,501-1k Employees (India)
8950,Johari Digital H...,3.1,(57 Reviews),Public,Jodhpur + 1 more,43 years old,51-200 Employees (India)
8951,Getronics,4.4,(57 Reviews),Private,"Amsterdam,North Holland + 6 more",135 years old,201-500 Employees (India)
8952,Pravin Masalewal...,4.4,(57 Reviews),Private,Pune + 12 more,60 years old,501-1k Employees (India)
8953,IVL Dhunseri Pet...,4.2,(57 Reviews),Kolkata + 4 more,7 years old,1k-5k Employees (India),
8954,Government of Ke...,4.1,(57 Reviews),Private,Thiruvananthapuram + 13 more,66 years old,50k-1 Lakh Employees (India)
8955,Brennan IT,3.8,(57 Reviews),Private,"Mumbai,Maharashtra + 1 more",25 years old,51-200 Employees (India)
8956,Unimrkt Research,3.1,(57 Reviews),New York + 2 more,13 years old,201-500 Employees (India),
8957,T2S Software Sol...,3.4,(57 Reviews),Private,"Stoke-on-Trent,England",6 years old,201-500 Employees (India)
8958,Healthcare Infor...,3.4,(57 Reviews),Private,"Vadodara/Baroda,Gujarat + 4 more",16 years old,201-500 Employees (Global)
8959,ANJ Turnkey Proj...,3.9,(57 Reviews),Mumbai + 5 more,47 years old,51-200 Employees (India),
8960,Bhailal Amin Gen...,4.3,(57 Reviews),Public,"Vadodara,Gujarat",58 years old,201-500 Employees (India)
8961,Raffles Educity,4.6,(57 Reviews),Private,"Chandigarh,Chandigarh + 10 more",15 years old,51-200 Employees (India)
8962,GE Money,4.5,(57 Reviews),Public,Norwalk + 13 more,90 years old,1k-5k Employees (India)
8963,Edocs Solutions,2.5,(57 Reviews),Public,"Mumbai,Maharashtra",6 years old,51-200 Employees (India)
8964,Chandusoft Techn...,3.7,(57 Reviews),Private,Bengaluru + 3 more,11 years old,201-500 Employees (India)
8965,Ruparel Realty,3.5,(57 Reviews),Private,Mumbai + 2 more,22 years old,201-500 Employees (India)
8966,Saggraha Managem...,4.5,(57 Reviews),"Bangalore,Karnataka + 20 more",8 years old,201-500 Employees (India),
8967,A-Check Global,3.9,(57 Reviews),Chennai + 1 more,201-500 Employees (India),,
8968,JSL Stainless,4.2,(57 Reviews),Public,New Delhi + 6 more,52 years old,1k-5k Employees (Global)
8969,Pride Technologi...,4.2,(57 Reviews),Private,New York + 3 more,40 years old,51-200 Employees (India)
8970,Harrisons Malaya...,4.3,(57 Reviews),Public,"Kochi/Cochin,Kerala + 7 more",178 years old,501-1k Employees (India)
8971,Tantia Construct...,4.4,(57 Reviews),Public,"Kolkata,West Bengal + 5 more",58 years old,51-200 Employees (India)
8972,3Pillar Global,4.5,(57 Reviews),LLP,"Noida,Uttar Pradesh + 1 more",16 years old,201-500 Employees (India)
8973,Sterling Infosys...,4.1,(57 Reviews),Private,New York + 2 more,47 years old,1k-5k Employees (India)
8974,Unimrkt Research,3.1,(57 Reviews),New York + 2 more,13 years old,201-500 Employees (India),
8975,Healthcare Infor...,3.4,(57 Reviews),Private,"Vadodara/Baroda,Gujarat + 4 more",16 years old,201-500 Employees (Global)
8976,Shiksha Infotech,3.3,(57 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",13 years old,51-200 Employees (India)
8977,Wildnet Technolo...,4.0,(57 Reviews),Private,"Noida,Uttar Pradesh",16 years old,51-200 Employees (India)
8978,ETP Internationa...,4.3,(57 Reviews),Private,Singapore + 2 more,34 years old,51-200 Employees (India)
8979,Arshiya Internat...,3.8,(57 Reviews),Public,"Mumbai,Maharashtra + 4 more",41 years old,201-500 Employees (India)
8980,Bagrrys India,4.6,(57 Reviews),Private,"Delhi/NCR,New Delhi + 10 more",36 years old,51-200 Employees (India)
8981,NSSL,3.0,(57 Reviews),Nagpur,34 years old,1k-5k Employees (India),
8982,Public School,4.0,(57 Reviews),New York + 30 more,14 years old,11-50 Employees (India),
8983,Kmg Infotech,3.6,(57 Reviews),Private,"Melville,New York + 1 more",32 years old,51-200 Employees (India)
8984,Analogics Group,3.7,(57 Reviews),Private,Hyderabad + 8 more,28 years old,201-500 Employees (India)
8985,VPS Rockland,3.7,(57 Reviews),Private,New Delhi,20 years old,1k-5k Employees (Global)
8986,Azuga Telematics,3.5,(57 Reviews),Private,"San Jose,California",10 years old,51-200 Employees (India)
8987,Goqii,3.7,(57 Reviews),Private,"Mumbai,Maharashtra + 7 more",8 years old,51-200 Employees (India)
8988,Sheth Developers,3.3,(57 Reviews),Private,"Mumbai,Maharashtra + 5 more",36 years old,201-500 Employees (India)
8989,T2S Software Sol...,3.4,(57 Reviews),Private,"Stoke-on-Trent,England",6 years old,201-500 Employees (India)
8990,Kohinoor Technic...,3.8,(57 Reviews),Mumbai + 9 more,55 years old,11-50 Employees (India),
8991,Indus Projects,4.0,(57 Reviews),Private,Hyderabad + 7 more,21 years old,201-500 Employees (India)
8992,Inamdar Multispe...,4.2,(57 Reviews),Private,"Pune,Maharashtra",12 years old,51-200 Employees (India)
8993,Vehant Technolog...,4.1,(57 Reviews),Private,"Noida,Uttar Pradesh + 7 more",17 years old,51-200 Employees (India)
8994,Nabard Consultan...,4.0,(57 Reviews),Private,New Delhi + 15 more,19 years old,201-500 Employees (India)
8995,Student Life,3.7,(57 Reviews),"Kolkata,West Bengal + 21 more",4 years old,1 Lakh+ Employees (India),
8996,GE Money,4.5,(57 Reviews),Public,Norwalk + 13 more,90 years old,1k-5k Employees (India)
8997,One Auto,4.0,(57 Reviews),Private,Kolkata + 6 more,11 years old,201-500 Employees (India)
8998,Rakesh Masala,4.1,(57 Reviews),Private,"Noida,Uttar Pradesh + 14 more",26 years old,201-500 Employees (India)
8999,Oxford Public Sc...,4.5,(57 Reviews),Private,New Delhi + 17 more,33 years old,11-50 Employees (India)
9000,Metahelix Life S...,4.2,(57 Reviews),Bengaluru + 23 more,22 years old,1-10 Employees (India),
9001,Sidwal Refrigera...,4.1,(57 Reviews),Private,New Delhi + 7 more,48 years old,51-200 Employees (India)
9002,Apollomedics Sup...,4.2,(57 Reviews),"Lucknow,Uttar Pradesh",11 years old,201-500 Employees (India),
9003,CIEL Textile,3.7,(57 Reviews),"Bangalore/Bengaluru,Karnataka + 3 more",15 years old,1k-5k Employees (India),
9004,GRAVEIENS EDUSER...,3.9,(57 Reviews),"Noida,Uttar Pradesh + 4 more",5 years old,1-10 Employees (India),
9005,Hiranandani Fina...,4.1,(57 Reviews),"Mumbai,Maharashtra + 20 more",5 years old,501-1k Employees (India),
9006,Pradhan Mantri K...,4.1,(57 Reviews),"Delhi,delhi + 35 more",10k-50k Employees (India),,
9007,Cambridge Cour...,4.9,(57 Reviews),,,,
9008,BetterPlace Sele...,4.1,(57 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",8 years old,201-500 Employees (Global)
9009,Bhavna Corp.,3.8,(57 Reviews),Private,"Noida,Uttar Pradesh + 3 more",9 years old,201-500 Employees (India)
9010,Indian Army Corp...,4.8,(57 Reviews),New Delhi + 23 more,242 years old,50k-1 Lakh Employees (India),
9011,Servicenow Softw...,4.3,(57 Reviews),Public,"Santa Clara,California + 1 more",18 years old,1k-5k Employees (India)
9012,Go Go Internatio...,4.4,(57 Reviews),Bengaluru + 4 more,39 years old,1k-5k Employees (India),
9013,JSL Stainless,4.2,(57 Reviews),Public,New Delhi + 6 more,52 years old,1k-5k Employees (Global)
9014,Skypack,3.4,(57 Reviews),Private,Faridabad + 4 more,49 years old,201-500 Employees (India)
9015,Phronesis Partne...,3.8,(57 Reviews),Boston,9 years old,201-500 Employees (India),
9016,Consultancy Serv...,4.3,(57 Reviews),Private,Rajkot + 20 more,12 years old,11-50 Employees (India)
9017,Njs Engineers In...,4.3,(57 Reviews),Private,Pune + 11 more,15 years old,51-200 Employees (India)
9018,ANJ Turnkey Proj...,3.9,(57 Reviews),Mumbai + 5 more,47 years old,51-200 Employees (India),
9019,LG Service,4.4,(57 Reviews),Private,Huntsville + 31 more,1 Lakh+ Employees (India),
9020,Pace IIT & Medic...,3.3,(57 Reviews),Private,Mumbai + 15 more,23 years old,51-200 Employees (India)
9021,Heureux Software...,4.4,(57 Reviews),Private,"Delhi/NCR,Delhi",7 years old,11-50 Employees (India)
9022,RINA,3.9,(57 Reviews),Private,"Kolkata,West Bengal + 14 more",161 years old,1k-5k Employees (Global)
9023,Ruparel Realty,3.5,(57 Reviews),Private,Mumbai + 2 more,22 years old,201-500 Employees (India)
9024,A-Check Global,3.9,(57 Reviews),Chennai + 1 more,201-500 Employees (India),,
9025,Staffnurse,3.9,(57 Reviews),Private,Derby + 24 more,10k-50k Employees (India),
9026,Chandusoft Techn...,3.7,(57 Reviews),Private,Bengaluru + 3 more,11 years old,201-500 Employees (India)
9027,Edocs Solutions,2.5,(57 Reviews),Public,"Mumbai,Maharashtra",6 years old,51-200 Employees (India)
9028,Saggraha Managem...,4.5,(57 Reviews),"Bangalore,Karnataka + 20 more",8 years old,201-500 Employees (India),
9029,Eicher Engineeri...,4.3,(57 Reviews),Private,"Dewas,Madhya Pradesh + 4 more",30 years old,51-200 Employees (India)
9030,Premier Carworld,2.7,(57 Reviews),Private,Kolkata + 1 more,12 years old,10k-50k Employees (India)
9031,Jaguar Overseas,3.8,(57 Reviews),Public,"Delhi/NCR,New Delhi + 5 more",31 years old,51-200 Employees (India)
9032,Lal Baba Seamles...,3.9,(57 Reviews),Private,"Kolkata,West Bengal + 2 more",16 years old,51-200 Employees (India)
9033,Besmak Component...,3.8,(57 Reviews),Kanchipuram + 5 more,28 years old,201-500 Employees (India),
9034,Computer Junctio...,3.4,(57 Reviews),Private,New Delhi + 5 more,27 years old,201-500 Employees (India)
9035,Dr. Mehta's Hosp...,4.7,(57 Reviews),Private,Chennai + 3 more,89 years old,201-500 Employees (Global)
9036,Ecogreen Energy,3.7,(57 Reviews),Private,Gurugram + 5 more,11 years old,51-200 Employees (India)
9037,Kamani Foods,2.8,(57 Reviews),Private,Mumbai + 5 more,7 years old,51-200 Employees (India)
9038,IVL Dhunseri Pet...,4.2,(57 Reviews),Kolkata + 4 more,7 years old,1k-5k Employees (India),
9039,Mantena Group,4.5,(57 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",12 years old,201-500 Employees (India)
9040,Marwadi Universi...,3.4,(57 Reviews),Private,Rajkot + 2 more,6 years old,201-500 Employees (India)
9041,KCCEC,4.1,(57 Reviews),Private,Kuwait City + 2 more,55 years old,201-500 Employees (Global)
9042,Sujan Cooper Sta...,3.8,(57 Reviews),Pune + 5 more,51-200 Employees (India),,
9043,Shriji Polymers,4.1,(57 Reviews),Public,Ujjain + 5 more,19 years old,51-200 Employees (India)
9044,Cogent,3.3,(57 Reviews),Private,Birmingham + 8 more,86 years old,50k-1 Lakh Employees (India)
9045,Universal Precis...,3.5,(57 Reviews),Rohtak + 2 more,16 years old,51-200 Employees (India),
9046,Mediaocean,4.3,(57 Reviews),Private,New York,55 years old,201-500 Employees (India)
9047,BLG Logistics,4.0,(57 Reviews),Private,Bremen + 5 more,145 years old,10k-50k Employees (Global)
9048,Gemini Communica...,4.2,(57 Reviews),Public,"New York City,New York + 17 more",27 years old,11-50 Employees (India)
9049,Synergy Systems ...,4.0,(57 Reviews),Private,Faridabad + 6 more,28 years old,51-200 Employees (India)
9050,Sagar Ratna Rest...,3.3,(57 Reviews),Private,New Delhi + 4 more,36 years old,501-1k Employees (India)
9051,Kich Architectur...,3.6,(57 Reviews),Private,"Rajkot,Gujarat + 11 more",19 years old,51-200 Employees (India)
9052,GIC Housing Fina...,3.8,(57 Reviews),Public,Mumbai + 20 more,33 years old,1k-5k Employees (India)
9053,Triton Valves,3.3,(57 Reviews),Public,Bengaluru + 1 more,47 years old,1k-5k Employees (India)
9054,Universal Constr...,3.7,(57 Reviews),Public,Pune + 9 more,48 years old,
9055,Pearson,4.4,(57 Reviews),Private,London + 9 more,178 years old,10k-50k Employees (Global)
9056,UMSL,3.8,(57 Reviews),Public,Bhubaneswar + 4 more,32 years old,501-1k Employees (India)
9057,Getronics,4.4,(57 Reviews),Private,"Amsterdam,North Holland + 6 more",135 years old,201-500 Employees (India)
9058,SupportMart,3.4,(57 Reviews),Private,New York + 2 more,11 years old,51-200 Employees (India)
9059,LeadSquared,3.8,(57 Reviews),Private,"Bangalore,Karnataka + 5 more",11 years old,1k-5k Employees (India)
9060,Orange County Re...,3.9,(57 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",28 years old,501-1k Employees (India)
9061,Pokarna,3.9,(57 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 1 more",21 years old,1k-5k Employees (India)
9062,codeMantra,3.6,(57 Reviews),Private,"Burlington,Massachusetts",18 years old,201-500 Employees (India)
9063,Arihant Superstr...,3.2,(57 Reviews),Public,"Navi Mumbai,Maharashtra + 4 more",39 years old,51-200 Employees (India)
9064,EduPristine,4.3,(57 Reviews),Private,"Delhi,NCT + 5 more",15 years old,51-200 Employees (India)
9065,Jesons Industrie...,3.7,(57 Reviews),Private,Mumbai + 4 more,50 years old,501-1k Employees (India)
9066,Harrisons Malaya...,4.3,(57 Reviews),Public,"Kochi/Cochin,Kerala + 7 more",178 years old,501-1k Employees (India)
9067,Hoonartek,4.4,(57 Reviews),Private,Pune + 2 more,12 years old,501-1k Employees (India)
9068,Oxford Public Sc...,4.5,(57 Reviews),Private,New Delhi + 17 more,33 years old,11-50 Employees (India)
9069,LARVOL,4.3,(57 Reviews),San Francisco + 8 more,18 years old,51-200 Employees (India),
9070,FIT 3PL Warehous...,4.3,(57 Reviews),Bengaluru + 14 more,36 years old,501-1k Employees (India),
9071,Kyb Conmat,3.9,(57 Reviews),Vadodara + 10 more,20 years old,201-500 Employees (India),
9072,Guru Nanak Publi...,4.1,(57 Reviews),Public,New Delhi + 17 more,58 years old,51-200 Employees (India)
9073,Freudenberg Gala...,4.4,(57 Reviews),Private,Mumbai + 9 more,13 years old,51-200 Employees (India)
9074,Lubi Electronics,4.3,(57 Reviews),Private,"Ahmedabad,Gujarat + 10 more",57 years old,1k-5k Employees (India)
9075,Merlin Group,4.2,(57 Reviews),Kolkata + 3 more,38 years old,51-200 Employees (Global),
9076,Pradhan Mantri K...,4.1,(57 Reviews),"Delhi,delhi + 35 more",10k-50k Employees (India),,
9077,Indian Army Corp...,4.8,(57 Reviews),New Delhi + 23 more,242 years old,50k-1 Lakh Employees (India),
9078,Inamdar Multispe...,4.2,(57 Reviews),Private,"Pune,Maharashtra",12 years old,51-200 Employees (India)
9079,Vehant Technolog...,4.1,(57 Reviews),Private,"Noida,Uttar Pradesh + 7 more",17 years old,51-200 Employees (India)
9080,Nabard Consultan...,4.0,(57 Reviews),Private,New Delhi + 15 more,19 years old,201-500 Employees (India)
9081,Besmak Component...,3.8,(57 Reviews),Kanchipuram + 5 more,28 years old,201-500 Employees (India),
9082,Computer Junctio...,3.4,(57 Reviews),Private,New Delhi + 5 more,27 years old,201-500 Employees (India)
9083,Stashfin,2.9,(57 Reviews),Private,"Delhi,NCT + 10 more",6 years old,11-50 Employees (India)
9084,Servicenow Softw...,4.3,(57 Reviews),Public,"Santa Clara,California + 1 more",18 years old,1k-5k Employees (India)
9085,Apollomedics Sup...,4.2,(57 Reviews),"Lucknow,Uttar Pradesh",11 years old,201-500 Employees (India),
9086,Cambridge Cour...,4.9,(57 Reviews),,,,
9087,Bhavna Corp.,3.8,(57 Reviews),Private,"Noida,Uttar Pradesh + 3 more",9 years old,201-500 Employees (India)
9088,BetterPlace Sele...,4.1,(57 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",8 years old,201-500 Employees (Global)
9089,ICAPIDILITE,4.0,(57 Reviews),Mumbai + 17 more,51-200 Employees (India),,
9090,FONTY Supply Cha...,4.6,(57 Reviews),Mandideep + 4 more,51-200 Employees (India),,
9091,Pearl Organisati...,3.7,(57 Reviews),51-200 Employees (India),,,
9092,Aggne Global IT ...,4.7,(57 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",4 years old,201-500 Employees (India)
9093,Vipul,4.2,(57 Reviews),Public,Gurgaon/Gurugram + 1 more,501-1k Employees (India),
9094,SMARTRIED SOFTWA...,4.6,(57 Reviews),Bengaluru/Bangalore + 1 more,51-200 Employees (India),,
9095,Alco Foods,4.0,(57 Reviews),Raipur + 5 more,10k-50k Employees (India),,
9096,Crystal Voxx,3.8,(57 Reviews),LLP,Larenceville + 2 more,30 years old,51-200 Employees (India)
9097,Healthplix Techn...,3.9,(57 Reviews),Private,"Bangalore,Karnataka + 9 more",8 years old,51-200 Employees (India)
9098,Carnival UK,4.6,(1.3k Reviews),Southampton + 2 more,50 years old,11-50 Employees (India),
9099,The Walt Disney ...,4.4,(106 Reviews),Private,"Burbank,California + 8 more",99 years old,5k-10k Employees (India)
9100,SMEC Automation,4.6,(95 Reviews),Private,Cochin + 10 more,21 years old,51-200 Employees (India)
9101,Intercontinental...,4.0,(56 Reviews),Private,"Atlanta,Georgia",22 years old,201-500 Employees (India)
9102,Customer Analyti...,4.2,(56 Reviews),Private,"Chennai,Tamil Nadu + 2 more",29 years old,201-500 Employees (India)
9103,Abir Infrastruct...,3.9,(56 Reviews),Private,New Delhi + 3 more,17 years old,501-1k Employees (India)
9104,Axtel Industries,4.3,(56 Reviews),Public,"Vadodara/Baroda,Gujrat + 1 more",31 years old,51-200 Employees (India)
9105,E2E Networks,4.0,(56 Reviews),Public,"Delhi,NCT + 3 more",13 years old,51-200 Employees (India)
9106,Caparo Group,3.6,(56 Reviews),Private,London + 11 more,54 years old,51-200 Employees (India)
9107,BI WORLDWIDE,4.2,(56 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",72 years old,51-200 Employees (India)
9108,Accutech Power S...,3.8,(56 Reviews),Private,"Mumbai,Maharashtra + 5 more",52 years old,501-1k Employees (India)
9109,Brilliant Bio Ph...,4.0,(56 Reviews),Private,Hyderabad + 4 more,34 years old,201-500 Employees (India)
9110,Mallcom,3.6,(56 Reviews),Public,"Kolkata,West Bengal + 5 more",39 years old,1k-5k Employees (India)
9111,Sona Alloys,3.9,(56 Reviews),Private,Ahmedabad + 2 more,15 years old,51-200 Employees (India)
9112,Mawai Infotech,4.0,(56 Reviews),Private,"Noida,Uttar Pradesh",24 years old,51-200 Employees (India)
9113,Biorad Medisys,4.1,(56 Reviews),Private,"Mumbai,Maharashtra + 8 more",15 years old,51-200 Employees (India)
9114,Universal Hunt,2.5,(56 Reviews),Private,"Ahmedabad,Gujarat + 4 more",15 years old,201-500 Employees (India)
9115,Model N,4.5,(56 Reviews),Private,San Mateo,23 years old,501-1k Employees (India)
9116,ZingHR,4.0,(56 Reviews),Private,"Mumbai,Maharashtra + 3 more",20 years old,51-200 Employees (India)
9117,Gimatex Industri...,4.2,(56 Reviews),Private,Mumbai + 6 more,29 years old,1k-5k Employees (India)
9118,Continental Carb...,3.9,(56 Reviews),Private,Ghaziabad + 1 more,22 years old,201-500 Employees (India)
9119,Crisp System,4.2,(56 Reviews),Private,Coimbatore + 8 more,26 years old,11-50 Employees (Global)
9120,Digital Aptech,4.1,(56 Reviews),Private,"Kolkata,West Bengal",10 years old,51-200 Employees (India)
9121,Prasar Bharati,4.3,(56 Reviews),Private,New Delhi + 21 more,25 years old,50k-1 Lakh Employees (India)
9122,Corecard Softwar...,4.2,(56 Reviews),Private,"Norcross,GA + 3 more",201-500 Employees (India),
9123,Secure Network S...,4.6,(56 Reviews),Private,Chennai + 6 more,22 years old,51-200 Employees (India)
9124,Magicrete Buildi...,4.3,(56 Reviews),"Surat,Gujarat + 7 more",14 years old,201-500 Employees (India),
9125,Sara Sae India,3.0,(56 Reviews),Private,"Chennai,Tamil Nadu + 5 more",28 years old,501-1k Employees (Global)
9126,SOTI,3.7,(56 Reviews),Private,Mississauga + 3 more,27 years old,201-500 Employees (India)
9127,NEC Corporation ...,3.6,(56 Reviews),Irving + 8 more,11-50 Employees (India),,
9128,Risk Management ...,3.9,(56 Reviews),Private,Newark + 2 more,34 years old,201-500 Employees (India)
9129,Edufic Digital,4.5,(56 Reviews),Chennai + 1 more,201-500 Employees (India),,
9130,Nexus Business S...,4.3,(56 Reviews),Private,New Delhi + 9 more,8 years old,51-200 Employees (India)
9131,Sterling Auxilia...,3.8,(56 Reviews),Mumbai + 3 more,38 years old,51-200 Employees (India),
9132,Hitachi Solution...,4.3,(56 Reviews),Private,"Chiyoda City,Tokyo + 7 more",9 years old,501-1k Employees (India)
9133,Wade Adams Contr...,4.4,(56 Reviews),Dubai + 2 more,46 years old,51-200 Employees (India),
9134,SHREE AMBA INDUS...,3.8,(56 Reviews),New Delhi + 6 more,32 years old,1k-5k Employees (India),
9135,Great Software L...,4.5,(56 Reviews),"Pune,Maharashtra",19 years old,1k-5k Employees (India),
9136,Iceberg Foods,3.6,(56 Reviews),Private,New Delhi + 8 more,21 years old,501-1k Employees (India)
9137,Toyota Lakozy Au...,4.4,(56 Reviews),Private,Mumbai + 1 more,23 years old,1 Lakh+ Employees (India)
9138,Pigeon India,4.6,(56 Reviews),Private,Tokyo + 8 more,65 years old,51-200 Employees (India)
9139,Donaldson India ...,3.8,(56 Reviews),Gurgaon + 2 more,107 years old,51-200 Employees (India),
9140,Gits Food Produc...,3.6,(56 Reviews),Private,Mumbai + 17 more,59 years old,201-500 Employees (India)
9141,Eskag Sanjeevani,3.9,(56 Reviews),Private,Kolkata + 9 more,18 years old,11-50 Employees (India)
9142,D Y Patil Hospit...,3.9,(56 Reviews),Private,"Mumbai,Maharashtra + 4 more",26 years old,11-50 Employees (India)
9143,Cytecare Cancer ...,4.1,(56 Reviews),Private,"Bangalore,Karnataka",8 years old,201-500 Employees (India)
9144,Srini Pharmaceut...,3.6,(56 Reviews),Private,Hyderabad + 2 more,27 years old,201-500 Employees (India)
9145,BEC Chemicals,4.1,(56 Reviews),Private,Mumbai + 4 more,43 years old,51-200 Employees (India)
9146,Arjohuntleigh He...,4.2,(56 Reviews),Private,Malmö + 15 more,65 years old,51-200 Employees (India)
9147,Symbiosys Techno...,3.6,(56 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 3 more",21 years old,51-200 Employees (India)
9148,Abdul Ali Al Ajm...,3.7,(56 Reviews),Riyadh + 4 more,42 years old,1k-5k Employees (India),
9149,Dit University,3.6,(56 Reviews),Private,Dehradun + 2 more,24 years old,201-500 Employees (India)
9150,Defsys Solutions,3.5,(56 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",15 years old,51-200 Employees (India)
9151,Bharti Hospital,3.8,(56 Reviews),Pune + 9 more,11-50 Employees (India),,
9152,Yoma Multination...,4.1,(56 Reviews),Private,Gurugram + 14 more,10 years old,51-200 Employees (India)
9153,Indus Hospital,4.0,(56 Reviews),Karachi + 7 more,15 years old,501-1k Employees (India),
9154,Swades Foundatio...,3.7,(56 Reviews),Private,"Mumbai,Maharashtra + 7 more",38 years old,201-500 Employees (India)
9155,Signals and Syst...,4.2,(56 Reviews),Private,"Chennai,Tamil Nadu + 7 more",27 years old,201-500 Employees (India)
9156,Solaimalai Enter...,3.5,(56 Reviews),Private,"Madurai,Tamil Nadu + 11 more",27 years old,501-1k Employees (India)
9157,Neotia Getwel He...,4.1,(56 Reviews),Siliguri + 3 more,20 years old,11-50 Employees (India),
9158,AstraGen,3.8,(56 Reviews),Private,"Chennai,Tamil Nadu + 6 more",10 years old,201-500 Employees (India)
9159,Ornate TechnoSer...,4.6,(56 Reviews),Private,"New Delhi,Delhi + 12 more",13 years old,51-200 Employees (India)
9160,SRM Institute of...,3.6,(56 Reviews),Private,"Chennai,Tamil Nadu + 5 more",37 years old,1k-5k Employees (India)
9161,SOGEFI ENGINE SY...,3.2,(56 Reviews),Gurgaon/Gurugram + 1 more,,,
9162,Deqode,4.7,(56 Reviews),Private,"San Francisco,California",10 years old,51-200 Employees (India)
9163,Globsyn-3rdLife,2.5,(56 Reviews),"Calcutta,west Bengal",5 years old,1k-5k Employees (India),
9164,OSI Digital,4.1,(56 Reviews),Private,"Woodland Hills,California + 2 more",29 years old,51-200 Employees (India)
9165,Proziod Analytic...,3.9,(56 Reviews),Private,"Bengaluru/Bangalore,Karnataka",6 years old,51-200 Employees (India)
9166,Supr Infotech So...,4.4,(56 Reviews),"Bangalore,Karnataka + 12 more",501-1k Employees (India),,
9167,TWEGO TOURISM SE...,3.6,(56 Reviews),"Noida,Uttar Pradesh + 2 more",4 years old,11-50 Employees (Global),
